Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
andoeya,6248,9193.896727375,20,2,2240,2024-11-24T09:00:00.0
lakeanoya,82,9193.896727375,20,2,2670,2024-11-24T09:00:00.0
igalikufjorden,5158,9193.896727375,20,2,2365,2024-11-24T09:00:00.0
griegesperanza,3695,9193.896727375,20,2,2620,2024-11-24T09:00:00.0
northsea,4600,9193.896727375,20,2,2411,2024-11-24T09:00:00.0
svalbardeidembukta,1744,9193.896727375,20,2,2350,2024-11-24T09:00:00.0
barentssea3,4304,9193.896727375,20,2,2430,2024-11-24T09:00:00.0
vanmijenfjorden,5974,9193.896727375,20,2,2340,2024-11-24T09:00:00.0
trondheimnorth,79,9193.896727375,20,2,2709,2024-11-24T09:00:00.0
northaustralia1,824,9193.896727375,20,2,2390,2024-11-24T09:00:00.0
barentssea4,1457,9193.896727375,20,2,2440,2024-11-24T09:00:00.0
stjordal,4590,9193.896727375,20,2,2661,2024-11-24T09:00:00.0
grieghammerfest,72,9193.896727375,20,2,2480,2024-11-24T09:00:00.0
englishatlantic,364,9193.896727375,20,2,2432,2024-11-24T09:00:00.0
northaustralia2,2962,9193.896727375,20,2,2380,2024-11-24T09:00:00.0
fredrikstad,2010,9193.896727375,20,2,2300,2024-11-24T09:00:00.0
falklandsatlantic,736,9193.896727375,20,2,2421,2024-11-24T09:00:00.0
frohavet,6245,9193.896727375,20,2,2700,2024-11-24T09:00:00.0
catala,1784,9193.896727375,20,2,2580,2024-11-24T09:00:00.0
checleset,3698,9193.896727375,20,2,2520,2024-11-24T09:00:00.0
buvika,4593,9193.896727375,20,2,2710,2024-11-24T09:00:00.0
frohavetsouth,361,9193.896727375,20,2,2630,2024-11-24T09:00:00.0
barentssea1,350,9193.896727375,20,2,2460,2024-11-24T09:00:00.0
griegnordkapp,1738,9193.896727375,20,2,2470,2024-11-24T09:00:00.0
caspiansea2,8272,9193.896727375,20,2,2400,2024-11-24T09:00:00.0
svalbardnyaalesund,629,9193.896727375,20,2,2360,2024-11-24T09:00:00.0

ingdalen,6242,8235.098710167,20,3,2690,2024-11-24T09:00:00.0
peteriisland,1030,8235.098710167,20,3,2210,2024-11-24T09:00:00.0
vancouver,3692,8235.098710167,20,3,2570,2024-11-24T09:00:00.0
atlantic1,2846,8235.098710167,20,3,2414,2024-11-24T09:00:00.0
vardoe,5968,8235.098710167,20,3,2250,2024-11-24T09:00:00.0
moby,2087,8235.098710167,20,3,2170,2024-11-24T09:00:00.0
griegclio,3696,8235.098710167,20,3,2610,2024-11-24T09:00:00.0
griegloppa,75,8235.098710167,20,3,2490,2024-11-24T09:00:00.0
barentssea2,70,8235.098710167,20,3,2450,2024-11-24T09:00:00.0
frohavetnorth,4589,8235.098710167,20,3,2650,2024-11-24T09:00:00.0
blubberbay,6013,8235.098710167,20,3,2560,2024-11-24T09:00:00.0
barentssea5,4301,8235.098710167,20,3,2435,2024-11-24T09:00:00.0
trondheim,2013,8235.098710167,20,3,2720,2024-11-24T09:00:00.0
caspiansea1,5947,8235.098710167,20,3,2410,2024-11-24T09:00:00.0
mjosa,2009,8235.098710167,20,3,2510,2024-11-24T09:00:00.0
lakeanoya,80,8235.098710167,20,3,2670,2024-11-24T09:00:00.0
igalikufjorden,5158,8235.098710167,20,3,2365,2024-11-24T09:00:00.0
